skills,lacking skills,recommended jobs
"aws, linux, terraform, databases",devops,Cloud Engineer
"python, data analysis, machine learning",deep learning,Data Scientist
"html, css, javascript, react, etc",backend development,Frontend Developer
"cad, solidworks, 3d modeling, manufacturing",finite element analysis,Mechanical Engineer
"electrical circuits, power systems, matlab",embedded systems,Electrical Engineer
"microcontrollers, sensors, raspberry pi ",cloud computing,IoT Developer
"data mining, deep learning, R programming",statistical modeling,Research Scientist
"java, spring boot, databases, git ",kubernetes,Backend Developer
"PLC programming, automation, industrial robots",machine learning,Automation Engineer
"digital signal processing, VLSI, FPGA",microcontrollers,Embedded Systems Engineer
"c++, control systems, robotics",AI and computer vision,Robotics Engineer
"cloud computing, AI, data science",software development,AI Engineer
"UX/UI design, prototyping, user research",front-end development,UI/UX Designer 
"cybersecurity, penetration testing, network security",cloud security,Security Analyst
"big data, hadoop, apache spark",data warehousing,Big Data Engineer
"thermodynamics, strength of materials, mechanics of solids",dynamics of machinery,aeronautical engineering
"satellite systems, orbital mechanics, space exploration",machine learning,Space Scientist
"data processing, feature engineering, sklearn",deep learning techniques,ML Engineer
"hadoop, data wrangling, hive, spark",streaming data analytics,Data Engineer
"c, operating systems, embedded systems ",high-level application development,Embedded Software Developer
" java, spring security, OAuth2, authentication",AI in cybersecurity,Security Engineer 
"python, NLP, machine learning",advanced deep learning,NLP Engineer
